year,title
2004,A Method for Inferring Label Sampling Mechanisms in Semi-Supervised Learning
2004,Worst-Case Analysis of Selective Sampling for Linear-Threshold Algorithms
2004,Hierarchical Clustering of a Mixture Model
2004,Variational Minimax Estimation of Discrete Distributions under KL Loss
2004,Integrating Topics and Syntax
2004,Spike-timing Dependent Plasticity and Mutual Information Maximization for a Spiking Neuron Model
2004,Reducing Spike Train Variability: A Computational Theory Of Spike-Timing Dependent Plasticity
1989,Practical Characteristics of Neural Network and Conventional Pattern Classifiers on Artificial and Speech Problems
2004,Log-concavity Results on Gaussian Process Methods for Supervised and Unsupervised Learning
2004,Detecting Significant Multidimensional Spatial Clusters
2004,Schema Learning: Experience-Based Construction of Predictive Action Models
2004,PAC-Bayes Learning of Conjunctions and Classification of Gene-Expression Data
2004,Computing regularization paths for learning multiple kernels
2004,Learning Gaussian Process Kernels via Hierarchical Bayes
2004,Matrix Exponential Gradient Updates for On-line Learning and Bregman Projection
2004,Coarticulation in Markov Decision Processes
2004,Triangle Fixing Algorithms for the Metric Nearness Problem
2004,Economic Properties of Social Networks
1987,Neural Net and Traditional Classifiers
1989,Discovering High Order Features with Mean Field Modules
2004,Following Curved Regularized Optimization Solution Paths
2004,The Correlated Correspondence Algorithm for Unsupervised Registration of Nonrigid Surfaces
2004,Maximum Margin Clustering
2004,Co-Validation: Using Model Disagreement on Unlabeled Data to Validate Classification Algorithms
2004,Assignment of Multiplicative Mixtures in Natural Images
2004,Semi-supervised Learning via Gaussian Processes
2004,Generalization Error and Algorithmic Convergence of Median Boosting
2004,Large-Scale Prediction of Disulphide Bond Connectivity
2004,Parallel Support Vector Machines: The Cascade SVM
2004,Density Level Detection is Classification
1989,Training Connectionist Networks with Queries and Selective Sampling
2004,Semi-supervised Learning with Penalized Probabilistic Clustering
2004,Implicit Wiener Series for Higher-Order Image Analysis
2004,Discrete profile alignment via constrained information bottleneck
2004,Boosting on Manifolds: Adaptive Regularization of Base Classifiers
2004,Mass Meta-analysis in Talairach Space
2004,Kernels for Multi--task Learning
2004,The Variational Ising Classifier (VIC) Algorithm for Coherently Contaminated Data
2004,The Convergence of Contrastive Divergences
2004,Seeing through water
2004,Self-Tuning Spectral Clustering
1989,Adjoint Operator Algorithms for Faster Learning in Dynamical Neural Networks
2004,Learning Efficient Auditory Codes Using Spikes Predicts Cochlear Filters
2004,A Cost-Shaping LP for Bellman Error Minimization with Performance Guarantees
2004,The power of feature clustering: An application to object detection
2004,Stable adaptive control with online learning
2004,Modeling Conversational Dynamics as a Mixed-Memory Markov Process
2004,On the Adaptive Properties of Decision Trees
2004,Efficient Out-of-Sample Extension of Dominant-Set Clusters
2004,Joint Probabilistic Curve Clustering and Alignment
2004,A Direct Formulation for Sparse PCA Using Semidefinite Programming
2004,A Feature Selection Algorithm Based on the Global Minimization of a Generalization Error Bound
1989,Designing Application-Specific Neural Networks Using the Genetic Algorithm
2004,Fast Rates to Bayes for Kernel Machines
2004,Real-Time Pitch Determination of One or More Voices by Nonnegative Matrix Factorization
2004,Distributed Information Regularization on Graphs
2004,Approximately Efficient Online Mechanism Design
2004,Nearly Tight Bounds for the Continuum-Armed Bandit Problem
2004,Heuristics for Ordering Cue Search in Decision Making
2004,Analysis of a greedy active learning strategy
2004,Online Bounds for Bayesian Algorithms
2004,Synergistic Face Detection and Pose Estimation with Energy-Based Models
2004,A Probabilistic Model for Online Document Clustering with Application to Novelty Detection
1989,Model Based Image Compression and Adaptive Data Representation by Interacting Filter Banks
2004,A Three Tiered Approach for Articulated Object Action Modeling and Recognition
2004,Incremental Learning for Visual Tracking
2004,Adaptive Discriminative Generative Model and Its Applications
2004,Hierarchical Bayesian Inference in Networks of Spiking Neurons
2004,A Temporal Kernel-Based Model for Tracking Hand Movements from Neural Activities
2004,Confidence Intervals for the Area Under the ROC Curve
2004,Face Detection --- Efficient and Rank Deficient
2004,Non-Local Manifold Tangent Learning
2004,Semi-Markov Conditional Random Fields for Information Extraction
2004,Optimal Information Decoding from Neuronal Populations with Specific Stimulus Selectivity
1989,The Cocktail Party Problem: Speech/Data Signal Separation Comparison between Backpropagation and SONN
2004,Newscast EM
2004,Multiple Relational Embedding
2004,Conditional Random Fields for Object Recognition
2004,A Topographic Support Vector Machine: Classification Using Local Label Configurations
2004,Surface Reconstruction using Learned Shape Models
2004,Maximum-Margin Matrix Factorization
2004,Outlier Detection with One-class Kernel Fisher Discriminants
2004,Class-size Independent Generalization Analsysis of Some Discriminative Multi-Category Classification
2004,Generative Affine Localisation and Tracking
2004,Learning Syntactic Patterns for Automatic Hypernym Discovery
1989,Neurally Inspired Plasticity in Oculomotor Processes
2004,An Information Maximization Model of Eye Movements
2004,Expectation Consistent Free Energies for Approximate Inference
2004,Methods Towards Invasive Human Brain Computer Interfaces
2004,Contextual Models for Object Detection Using Boosted Random Fields
2004,Dynamic Bayesian Networks for Brain-Computer Interfaces
2004,Hierarchical Eigensolver for Transition Matrices in Spectral Methods
2004,An Investigation of Practical Approximate Nearest Neighbor Algorithms
2004,Using Random Forests in the Structured Language Model
2004,A Hidden Markov Model for de Novo Peptide Sequencing
2004,Maximal Margin Labeling for Multi-Topic Text Categorization
1989,Recognizing Hand-Printed Letters and Digits
2004,A Second Order Cone programming Formulation for Classifying Missing Data
2004,At the Edge of Chaos: Real-time Computations and Self-Organized Criticality in Recurrent Neural Networks
2004,Exponential Family Harmoniums with an Application to Information Retrieval
2004,Convergence and No-Regret in Multiagent Learning
2004,Maximising Sensitivity in a Spiking Network
2004,Probabilistic Computation in Spiking Populations
2004,Using the Equivalent Kernel to Understand Gaussian Process Regression
2004,Exponentiated Gradient Algorithms for Large-margin Structured Classification
2004,Probabilistic Inference of Alternative Splicing Events in Microarray Data
2004,Message Errors in Belief Propagation
1989,A Computational Basis for Phonology
2004,New Criteria and a New Algorithm for Learning in Multi-Agent Systems
2004,Proximity Graphs for Clustering and Manifold Learning
2004,Optimal sub-graphical models
2004,Rate- and Phase-coded Autoassociative Memory
2004,Joint MRI Bias Removal Using Entropy Minimization Across Images
2004,The Laplacian PDF Distance: A Cost Function for Clustering in a Kernel Feature Space
2004,Efficient Kernel Discriminant Analysis via QR Decomposition
2004,Multi-agent Cooperation in Diverse Population Games
2004,Modelling Uncertainty in the Game of Go
2004,Modeling Nonlinear Dependencies in Natural Images using Mixture of Laplacian Distribution
1989,Predicting Weather Using a Genetic Memory: A Combination of Kanerva's Sparse Distributed Memory with Holland's Genetic Algorithms
2004,On-Chip Compensation of Device-Mismatch Effects in Analog VLSI Neural Networks
2004,Hierarchical Distributed Representations for Statistical Language Modeling
2004,Limits of Spectral Clustering
2004,Semi-parametric Exponential Family PCA
2004,Saliency-Driven Image Acuity Modulation on a Reconfigurable Array of Spiking Silicon Neurons
2004,Breaking SVM Complexity with Cross-Training
2004,Identifying Protein-Protein Interaction Sites on a Genome-Wide Scale
2004,Theory of localized synfire chain: characteristic propagation speed of stable spike pattern
2004,Sharing Clusters among Related Groups: Hierarchical Dirichlet Processes
2004,Optimal Aggregation of Classifiers and Boosting Maps in Functional Magnetic Resonance Imaging
1987,Bit-Serial Neural Networks
1989,Coupled Markov Random Fields and Mean Field Theory
2004,Generalization Error Bounds for Collaborative Prediction with Low-Rank Matrices
2004,Algebraic Set Kernels with Application to Inference Over Local Image Representations
2004,Nonparametric Transforms of Graph Kernels for Semi-Supervised Learning
2004,The Cerebellum Chip: an Analog VLSI Implementation of a Cerebellar Model of Classical Conditioning
2004,VDCBPI: an Approximate Scalable Algorithm for Large POMDPs
2004,A Generalized Bradley-Terry Model: From Group Competition to Individual Skill
2004,Making Latin Manuscripts Searchable using gHMM's
2004,Neural Network Computation by In Vitro Transcriptional Circuits
2004,Who's In the Picture
2004,Semigroup Kernels on Finite Sets
2004,Bayesian Regularization and Nonnegative Deconvolution for Time Delay Estimation
2004,Similarity and Discrimination in Classical Conditioning: A Latent Variable Account
2004,A Harmonic Excitation State-Space Approach to Blind Separation of Speech
2004,The Entire Regularization Path for the Support Vector Machine
2004,Harmonising Chorales by Probabilistic Inference
2004,Theories of Access Consciousness
2004,Bayesian inference in spiking neurons
2004,Binet-Cauchy Kernels
2004,Semi-supervised Learning on Directed Graphs
2004,On Semi-Supervised Classification
1989,Reading a Neural Code
2004,Trait Selection for Assessing Beef Meat Quality Using Non-linear SVM
2004,Multiple Alignment of Continuous Time Series
2004,"Learning, Regularization and Ill-Posed Inverse Problems"
2004,Resolving Perceptual Aliasing In The Presence Of Noisy Sensors
2004,Kernel Methods for Implicit Surface Modeling
2004,A Machine Learning Approach to Conjoint Analysis
2004,??-norm Minimization for Basis Selection
2004,Planning for Markov Decision Processes with Sparse Stochasticity
2004,Result Analysis of the NIPS 2003 Feature Selection Challenge
2004,Mistake Bounds for Maximum Entropy Discrimination
1989,Speaker Independent Speech Recognition with Neural Networks and Speech Knowledge
2004,Experts in a Markov Decision Process
2004,Synergies between Intrinsic and Synaptic Plasticity in Individual Model Neurons
2004,"Joint Tracking of Pose, Expression, and Texture using Conditionally Gaussian Filters"
2004,Euclidean Embedding of Co-Occurrence Data
2004,Exploration-Exploitation Tradeoffs for Experts Algorithms in Reactive Environments
2004,Learning Hyper-Features for Visual Identification
2004,Nonlinear Blind Source Separation by Integrating Independent Component Analysis and Slow Feature Analysis
2004,Methods for Estimating the Computational Power and Generalization Capability of Neural Microcircuits
2004,Supervised Graph Inference
2004,An Application of Boosting to Graph Classification
1989,On the Distribution of the Number of Local Minima of a Random Function on a Graph
2004,Semi-supervised Learning by Entropy Minimization
2004,Validity Estimates for Loopy Belief Propagation on Binary Real-world Networks
2004,Incremental Algorithms for Hierarchical Classification
2004,Support Vector Classification with Input Data Uncertainty
2004,Synchronization of neural networks by mutual learning and its application to cryptography
2004,Beat Tracking the Graphical Model Way
2004,Common-Frame Model for Object Recognition
2004,Responding to Modalities with Different Latencies
2004,Distributed Occlusion Reasoning for Tracking with Nonparametric Belief Propagation
2004,Brain Inspired Reinforcement Learning
1989,Generalization and Parameter Estimation in Feedforward Nets: Some Experiments
2005,Dynamical Synapses Give Rise to a Power-Law Distribution of Neuronal Avalanches
2005,Learning Shared Latent Structure for Image Synthesis and Robotic Imitation
2005,Norepinephrine and Neural Interrupts
2005,Nested sampling for Potts models
2005,Recovery of Jointly Sparse Signals from Few Random Projections
2005,From Batch to Transductive Online Learning
2005,Consistency of one-class SVM and related algorithms
2005,Generalized Nonnegative Matrix Approximations with Bregman Divergences
2005,A Hierarchical Compositional System for Rapid Object Detection
2005,Analysis of Spectral Kernel Design based Semi-supervised Learning
1989,Non-Boltzmann Dynamics in Networks of Spiking Neurons
2005,Q-Clustering
2005,A Bayesian Framework for Tilt Perception and Confidence
2005,On the Convergence of Eigenspaces in Kernel Principal Component Analysis
2005,A Probabilistic Interpretation of SVMs with an Application to Unbalanced Classification
2005,The Information-Form Data Association Filter
2005,Representing Part-Whole Relationships in Recurrent Neural Networks
2005,Fixing two weaknesses of the Spectral Method
2005,Off-policy Learning with Options and Recognizers
2005,An Alternative Infinite Mixture Of Gaussian Process Experts
2005,Fast biped walking with a reflexive controller and real-time policy searching
1989,Complexity of Finite Precision Neural Network Classifier
2005,Affine Structure From Sound
2005,Comparing the Effects of Different Weight Distributions on Finding Sparse Representations
2005,Describing Visual Scenes using Transformed Dirichlet Processes
2005,Silicon growth cones map silicon retina
2005,Learning Multiple Related Tasks using Latent Independent Component Analysis
2005,Data-Driven Online to Batch Conversions
2005,Modeling Neural Population Spiking Activity with Gibbs Distributions
2005,Stimulus Evoked Independent Factor Analysis of MEG Data with Large Background Activity
2005,From Weighted Classification to Policy Search
2005,Generalization Error Bounds for Aggregation by Mirror Descent with Averaging
2005,Spectral Bounds for Sparse PCA: Exact and Greedy Algorithms
2005,Analyzing Coupled Brain Sources: Distinguishing True from Spurious Interaction
2005,Temporally changing synaptic plasticity
2005,Gaussian Process Dynamical Models
2005,Factorial Switching Kalman Filters for Condition Monitoring in Neonatal Intensive Care
2005,Learning to Control an Octopus Arm with Gaussian Process Temporal Difference Methods
2005,Oblivious Equilibrium: A Mean Field Approximation for Large-Scale Dynamic Games
2005,Subsequence Kernels for Relation Extraction
2005,Hot Coupling: A Particle Approach to Inference and Normalization on Pairwise Undirected Graphs
2005,Large scale networks fingerprinting and visualization using the k-core decomposition
1989,Note on Development of Modularity in Simple Cortical Models
2005,Convergence and Consistency of Regularized Boosting Algorithms with Stationary B-Mixing Observations
2005,Gaussian Processes for Multiuser Detection in CDMA receivers
2005,Robust Fisher Discriminant Analysis
2005,A Bayes Rule for Density Matrices
2005,Structured Prediction via the Extragradient Method
2005,Distance Metric Learning for Large Margin Nearest Neighbor Classification
2005,Efficient Unsupervised Learning for Localization and Detection in Object Categories
2005,Products of ``Edge-perts
2005,Worst-Case Bounds for Gaussian Process Models
2005,Identifying Distributed Object Representations in Human Extrastriate Visual Cortex
1987,On Tropistic Processing and Its Applications
1989,Generalized Hopfield Networks and Nonlinear Optimization
2005,Convex Neural Networks
2005,Rate Distortion Codes in Sensor Networks: A System-level Analysis
2005,Optimal cue selection strategy
2005,An aVLSI Cricket Ear Model
2005,Learning Rankings via Convex Hull Separation
2005,The Role of Top-down and Bottom-up Processes in Guiding Eye Movements during Visual Search
2005,The Forgetron: A Kernel-Based Perceptron on a Fixed Budget
2005,Ideal Observers for Detecting Motion: Correspondence Noise
2005,Rodeo: Sparse Nonparametric Regression in High Dimensions
2005,Augmented Rescorla-Wagner and Maximum Likelihood Estimation
1989,An Efficient Implementation of the Back-propagation Algorithm on the Connection Machine CM-2
2005,The Curse of Highly Variable Functions for Local Kernel Machines
2005,Inference with Minimal Communication: a Decision-Theoretic Variational Approach
2005,Gradient Flow Independent Component Analysis in Micropower VLSI
2005,On the Accuracy of Bounded Rationality: How Far from Optimal Is Fast and Frugal?
2005,Cue Integration for Figure/Ground Labeling
2005,Bayesian models of human action understanding
2005,Sequence and Tree Kernels with Statistical Feature Mining
2005,Bayesian Sets
2005,A Domain Decomposition Method for Fast Manifold Learning
2005,A Bayesian Spatial Scan Statistic
1989,Sigma-Pi Learning: On Radial Basis Functions and Cortical Associative Learning
2005,Group and Topic Discovery from Relations and Their Attributes
2005,Generalization to Unseen Cases
2005,Bayesian Surprise Attracts Human Attention
2005,Extracting Dynamical Structure Embedded in Neural Activity
2005,A Criterion for the Convergence of Learning with Spike Timing Dependent Plasticity
2005,Fast Online Policy Gradient Learning with SMD Gain Vector Adaptation
2005,Temporal Abstraction in Temporal-difference Networks
2005,"Learning vehicular dynamics, with application to modeling helicopters"
2005,Asymptotics of Gaussian Regularized Least Squares
2005,"Two view learning: SVM-2K, Theory and Practice"
1989,Operational Fault Tolerance of CMAC Networks
2005,Saliency Based on Information Maximization
2005,Faster Rates in Regression via Active Learning
2005,Layered Dynamic Textures
2005,Walk-Sum Interpretation and Analysis of Gaussian Belief Propagation
2005,Cyclic Equilibria in Markov Games
2005,Fast Gaussian Process Regression using KD-Trees
2005,Optimizing spatio-temporal filters for improving Brain-Computer Interfacing
2005,An Application of Markov Random Fields to Range Sensing
2005,Pattern Recognition from One Example by Chopping
2005,Improved risk tail bounds for on-line algorithms
1989,A Neural Network for Real-Time Signal Processing
2005,Active Bidirectional Coupling in a Cochlear Chip
2005,Predicting EMG Data from M1 Neurons with Variational Bayesian Least Squares
2005,"How fast to work: Response vigor, motivation and tonic dopamine"
2005,Transfer learning for text classification
2005,A PAC-Bayes approach to the Set Covering Machine
2005,Response Analysis of Neuronal Population with Synaptic Depression
2005,Benchmarking Non-Parametric Statistical Tests
2005,Off-Road Obstacle Avoidance through End-to-End Learning
2005,Nearest Neighbor Based Feature Selection for Regression and its Application to Neural Activity
2005,Phase Synchrony Rate for the Recognition of Motor Imagery in Brain-Computer Interface
1989,Collective Oscillations in the Visual Cortex
2005,Maximum Margin Semi-Supervised Learning for Structured Variables
2005,Learning Minimum Volume Sets
2005,Spiking Inputs to a Winner-take-all Network
2005,Separation of Music Signals by Harmonic Structure Modeling
2005,Non-Gaussian Component Analysis: a Semi-parametric Framework for Linear Dimension Reduction
2005,Modeling Neuronal Interactivity using Dynamic Bayesian Networks
2005,Computing the Solution Path for the Regularized Support Vector Regression
2005,Sparse Gaussian Processes using Pseudo-inputs
2005,Integrate-and-Fire models with adaptation are good enough
2005,Learning in Silicon: Timing is Everything
1989,Neural Network Visualization
2005,Generalization error bounds for classifiers trained with interdependent data
2005,Kernels for gene regulatory regions
2005,A matching pursuit approach to sparse Gaussian process regression
2005,From Lasso regression to Feature vector machine
2005,Principles of real-time computing with feedback applied to cortical microcircuit models
2005,Fast Krylov Methods for N-Body Learning
2005,Conditional Visual Tracking in Kernel Space
2005,A Theoretical Analysis of Robust Coding over Noisy Overcomplete Channels
2005,Bayesian model learning in human visual perception
2005,Beyond Gaussian Processes: On the Distributions of Infinite Networks
1989,Neural Network Simulation of Somatosensory Representational Plasticity
2005,Mixture Modeling by Affinity Propagation
2005,Value Function Approximation with Diffusion Wavelets and Laplacian Eigenfunctions
2005,Efficient Estimation of OOMs
2005,Modeling Memory Transfer and Saving in Cerebellar Motor Learning
2005,Noise and the two-thirds power Law
2005,Top-Down Control of Visual Attention: A Rational Account
2005,Measuring Shared Information and Coordinated Activity in Neuronal Networks
2005,TD(0) Leads to Better Policies than Approximate Value Iteration
2005,An Approximate Inference Approach for the PCA Reconstruction Error
2005,Dynamic Social Network Analysis using Latent Space Models
1989,Analytic Solutions to the Formation of Feature-Analysing Cells of a Three-Layer Feedforward Visual Information Processing Neural Net
2005,Fusion of Similarity Data in Clustering
2005,Large-Scale Multiclass Transduction
2005,Infinite latent feature models and the Indian buffet process
2005,Online Discovery and Learning of Predictive State Representations
2005,Selecting Landmark Points for Sparse Manifold Learning
2005,Neural mechanisms of contrast dependent receptive field size in V1
2005,Efficient estimation of hidden state dynamics from spike trains
2005,Context as Filtering
2005,Large-scale biophysical parameter estimation in single neurons via constrained linear regression
2005,AER Building Blocks for Multi-Layer Multi-Chip Neuromorphic Vision Systems
1989,Using Local Models to Control Movement
2005,A General and Efficient Multiple Kernel Learning Algorithm
2005,Statistical Convergence of Kernel CCA
2005,Logic and MRF Circuitry for Labeling Occluding and Thinline Visual Contours
2005,Analyzing Auditory Neurons by Learning Distance Functions
2005,Visual Encoding with Jittering Eyes
2005,Using ``epitomes'' to model genetic diversity: Rational design of HIV vaccine cocktails
2005,Generalization in Clustering with Unobserved Features
2005,Unbiased Estimator of Shape Parameter for Spiking Irregularities under Changing Environments
2005,Fast Information Value for Graphical Models
2005,Tensor Subspace Analysis
1987,Basins of Attraction for Electronic Neural Networks
1989,Combining Visual and Acoustic Speech Signals with a Neural Network Improves Intelligibility
2005,Nonparametric inference of prior probabilities from Bayes-optimal behavior
2005,Is Early Vision Optimized for Extracting Higher-order Dependencies?
2005,Size Regularized Cut for Data Clustering
2005,Assessing Approximations for Gaussian Process Classification
2005,Hierarchical Linear/Constant Time SLAM Using Particle Filters for Dense Maps
2005,"Divergences, surrogate loss functions and experimental design"
2005,Correlated Topic Models
2005,Radial Basis Function Network for Multi-task Learning
2005,Non-iterative Estimation with Perturbed Gaussian Markov Processes
2005,Laplacian Score for Feature Selection
1989,Dataflow Architectures: Flexible Platforms for Neural Network Simulation
2005,Policy-Gradient Methods for Planning
2005,Location-based activity recognition
2005,Sensory Adaptation within a Bayesian Framework for Perception
2005,Consensus Propagation
2005,Non-Local Manifold Parzen Windows
2005,Variable KD-Tree Algorithms for Spatial Pattern Search and Discovery
2005,Query by Committee Made Real
2005,Neuronal Fiber Delineation in Area of Edema from Diffusion Weighted MRI
2005,Learning Influence among Interacting Markov Chains
2005,Searching for Character Models
1989,Discovering the Structure of a Reactive Environment by Exploration
2005,Learning from Data of Variable Quality
2005,Learning Depth from Single Monocular Images
2005,Learning Topology with the Generative Gaussian Graph and the EM Algorithm
2005,Beyond Pair-Based STDP: a Phenomenological Rule for Spike Triplet and Frequency Effects
2005,Robust design of biological experiments
2005,Estimating the wrong Markov random field: Benefits in the computation-limited setting
2005,Multiple Instance Boosting for Object Detection
2005,Scaling Laws in Natural Scenes and the Inference of 3D Shape
2005,Dual-Tree Fast Gauss Transforms
2005,Correcting sample selection bias in maximum entropy density estimation
1989,Handwritten Digit Recognition with a Back-Propagation Network
2005,An Analog Visual Pre-Processing Processor Employing Cyclic Line Access in Only-Nearest-Neighbor-Interconnects Architecture
2005,A Connectionist Model for Constructive Modal Reasoning
2005,Hyperparameter and Kernel Learning for Graph Based Semi-Supervised Classification
2005,Variational EM Algorithms for Non-Gaussian Latent Variable Models
2005,Kernelized Infomax Clustering
2005,Variational Bayesian Stochastic Complexity of Mixture Models
2005,A Cortically-Plausible Inverse Problem Solving Method Applied to Recognizing Static and Kinematic 3D Objects
2005,Inferring Motor Programs from Images of Handwritten Digits
2005,Combining Graph Laplacians for Semi--Supervised Learning
2005,Learning Cue-Invariant Visual Responses
1990,Generalization Properties of Radial Basis Functions
2005,Active Learning For Identifying Function Threshold Boundaries
2005,Interpolating between types and tokens by estimating power-law generators
2005,"Diffusion Maps, Spectral Clustering and Eigenfunctions of Fokker-Planck Operators"
2005,Coarse sample complexity bounds for active learning
2005,Active Learning for Misspecified Models
2005,Estimation of Intrinsic Dimensionality Using High-Rate Vector Quantization
2005,Prediction and Change Detection
2005,Metric Learning by Collapsing Classes
2005,Soft Clustering on Graphs
2005,A Computational Model of Eye Movements during Object Class Detection
1990,Spoken Letter Recognition
2005,An exploration-exploitation model based on norepinepherine and dopamine activity
2005,On Local Rewards and Scaling Distributed Reinforcement Learning
2005,A Probabilistic Approach for Optimizing Spectral Clustering
2005,Preconditioner Approximations for Probabilistic Graphical Models
2005,Message passing for task redistribution on sparse graphs
2005,CMOL CrossNets: Possible Neuromorphic Nanoelectronic Circuits
2005,Goal-Based Imitation as Probabilistic Inference over Graphical Models
2006,Learning Dense 3D Correspondence
2006,Effects of Stress and Genotype on Meta-parameter Dynamics in Reinforcement Learning
2006,PAC-Bayes Bounds for the Risk of the Majority Vote and the Variance of the Gibbs Classifier
1990,How Receptive Field Parameters Affect Neural Learning
2006,Balanced Graph Matching
2006,Active learning for misspecified generalized linear models
2006,Non-rigid point set registration: Coherent Point Drift
2006,AdaBoost is Consistent
2006,A Switched Gaussian Process for Estimating Disparity and Segmentation in Binocular Stereo
2006,Hidden Markov Dirichlet Process: Modeling Genetic Recombination in Open Ancestral Space
2006,Comparative Gene Prediction using Conditional Random Fields
2006,Large Margin Multi-channel Analog-to-Digital Conversion with Applications to Neural Prosthesis
2006,Automated Hierarchy Discovery for Planning in Partially Observable Environments
2006,Recursive Attribute Factoring
1990,"Spherical Units as Dynamic Consequential Regions: Implications for Attention, Competition and Categorization"
2006,Sparse Kernel Orthonormalized PLS for feature extraction in large data sets
2006,Learning to Rank with Nonsmooth Cost Functions
2006,Learning from Multiple Sources
2006,Fast Computation of Graph Kernels
2006,Single Channel Speech Separation Using Factorial Dynamics
2006,Hierarchical Dirichlet Processes with Random Effects
2006,Learning to parse images of articulated bodies
2006,Online Clustering of Moving Hyperplanes
2006,Mutagenetic tree Fisher kernel improves prediction of HIV drug resistance from viral genotype
2006,Efficient sparse coding algorithms
1990,Language Induction by Phase Transition in Dynamical Recognizers
2006,Conditional Random Sampling: A Sketch-based Sampling Technique for Sparse Data
2006,Chained Boosting
2006,"Shifting, One-Inclusion Mistake Bounds and Tight Multiclass Expected Risk Bounds"
2006,Analysis of Representations for Domain Adaptation
2006,Online Classification for Complex Problems Using Simultaneous Projections
2006,Reducing Calibration Time For Brain-Computer Interfaces: A Clustering Approach
2006,Context dependent amplification of both rate and event-correlation in a VLSI network of spiking neurons
2006,Optimal Single-Class Classification Strategies
2006,Large Scale Hidden Semi-Markov SVMs
2006,Convergence of Laplacian Eigenmaps
1990,Development and Spatial Structure of Cortical Feature Maps: A Model Study
2006,Sample Complexity of Policy Search with Known Dynamics
2006,Fast Iterative Kernel PCA
2006,Training Conditional Random Fields for Maximum Labelwise Accuracy
2006,Bayesian Policy Gradient Algorithms
2006,Modeling General and Specific Aspects of Documents with a Probabilistic Topic Model
2006,An Information Theoretic Framework for Eukaryotic Gradient Sensing
2006,Distributed Inference in Dynamical Systems
2006,Manifold Denoising
2006,Stochastic Relational Models for Discriminative Link Prediction
2006,Computation of Similarity Measures for Sequential Data using Generalized Suffix Trees
1987,Supervised Learning of Probability Distributions by Neural Networks
1987,A 'Neural' Network that Learns to Play Backgammon
1990,Multi-Layer Perceptrons with B-Spline Receptive Field Functions
2006,"On the Relation Between Low Density Separation, Spectral Clustering and Graph Cuts"
2006,Learning to be Bayesian without Supervision
2006,Linearly-solvable Markov decision problems
2006,Efficient Structure Learning of Markov Networks using
2006,Towards a general independent subspace analysis
2006,Large-Scale Sparsified Manifold Regularization
2006,Optimal Change-Detection and Spiking Neurons
2006,Attribute-efficient learning of decision lists and linear threshold functions under unconcentrated distributions
2006,Clustering Under Prior Knowledge with Application to Image Segmentation
2006,Emergence of conjunctive visual features by quadratic independent component analysis
1990,Constructing Hidden Units using Examples and Queries
2006,Robotic Grasping of Novel Objects
2006,Neurophysiological Evidence of Cooperative Mechanisms for Stereo Computation
2006,Handling Advertisements of Unknown Quality in Search Advertising
2006,Near-Uniform Sampling of Combinatorial Spaces Using XOR Constraints
2006,Generalized Regularized Least-Squares Learning with Predefined Features in a Hilbert Space
2006,Stratification Learning: Detecting Mixed Density and Dimensionality in High Dimensional Point Clouds
2006,Dynamic Foreground/Background Extraction from Images and Videos using Random Patches
2006,Bayesian Detection of Infrequent Differences in Sets of Time Series with Shared Structure
2006,Recursive ICA
2006,Mixture Regression for Covariate Shift
1990,Phase-coupling in Two-Dimensional Networks of Interacting Oscillators
2006,Multi-dynamic Bayesian Networks
2006,Unsupervised Learning of a Probabilistic Grammar for Object Detection and Parsing
2006,Learning Structural Equation Models for fMRI
2006,Unified Inference for Variational Bayesian Linear Gaussian State-Space Models
2006,Max-margin classification of incomplete data
2006,Accelerated Variational Dirichlet Process Mixtures
2006,Blind source separation for over-determined delayed mixtures
2006,A Novel Gaussian Sum Smoother for Approximate Inference in Switching Linear Dynamical Systems
2006,A selective attention multi--chip system with dynamic synapses and spiking neurons
2006,Learning to Model Spatial Dependency: Semi-Supervised Discriminative Random Fields
1990,ART2/BP architecture for adaptive estimation of dynamic processes
2006,Approximate Correspondences in High Dimensions
2006,Predicting spike times from subthreshold dynamics of a neuron
2006,Learning Time-Intensity Profiles of Human Activity using Non-Parametric Bayesian Models
2006,Modeling Dyadic Data with Binary Latent Factors
2006,Implicit Surfaces with Globally Regularised and Compactly Supported Basis Functions
2006,Learning to Traverse Image Manifolds
2006,A Bayesian Approach to Diffusion Models of Decision-Making and Response Time
2006,"Bayesian Image Super-resolution, Continued"
2006,implicit Online Learning with Kernels
2006,Unsupervised Regression with Applications to Nonlinear System Identification
1990,Reconfigurable Neural Net Chip with 32K Connections
2006,Analysis of Contour Motions
2006,Parameter Expanded Variational Bayesian Methods
2006,Statistical Modeling of Images with Fields of Gaussian Scale Mixtures
2006,Hyperparameter Learning for Graph Based Semi-supervised Learning Algorithms
2006,Cross-Validation Optimization for Large Scale Hierarchical Classification Kernel Methods
2006,Multiple timescales and uncertainty in motor adaptation
2006,Approximate inference using planar graph decomposition
2006,Multi-Instance Multi-Label Learning with Application to Scene Classification
2006,Greedy Layer-Wise Training of Deep Networks
2006,Doubly Stochastic Normalization for Spectral Clustering
2006,Nonlinear physically-based models for decoding motor-cortical population activity
2006,Large Margin Hidden Markov Models for Automatic Speech Recognition
2006,Logarithmic Online Regret Bounds for Undiscounted Reinforcement Learning
2006,The Robustness-Performance Tradeoff in Markov Decision Processes
2006,Clustering appearance and shape by learning jigsaws
2006,Theory and Dynamics of Perceptual Bistability
