District,First,Last,Party,PVI,Raw PVI,Rank
IL-09,Jan,Schakowsky,D,D+19,D+19.44,68
IL-10,Brad,Schneider,D,D+11,D+10.98,123
IL-11,Bill,Foster,D,D+5,D+5.3,162
IL-12,Mike,Bost,R,R+24,R+23.97,421
IL-13,Nikki,Budzinski,D,D+3,D+3.44,180
IL-14,Lauren,Underwood,D,D+4,D+3.56,179
IL-15,Mary,Miller,R,R+22,R+21.95,410
IL-16,Darin,LaHood,R,R+13,R+13.46,331
IL-17,Eric,Sorensen,D,D+2,D+1.91,196
IN-01,Frank,Mrvan,D,D+3,D+2.77,188
IN-02,Rudy,Yakym,R,R+14,R+13.95,336
IN-03,Jim,Banks,R,R+18,R+17.97,379
IN-04,Jim,Baird,R,R+18,R+17.72,376
IN-05,Victoria,Spartz,R,R+11,R+11.21,303
IN-06,Greg,Pence,R,R+19,R+19.18,389
IN-07,Andr̩,Carson,D,D+19,D+18.95,69
IN-08,Larry,Bucshon,R,R+19,R+19.03,388
IN-09,Erin,Houchin,R,R+16,R+16.18,361
IA-01,Mariannette,Miller-Meeks,R,R+3,R+3.49,236
IA-02,Ashley,Hinson,R,R+4,R+4.28,241
IA-03,Zach,Nunn,R,R+3,R+2.52,228
IA-04,Randy,Feenstra,R,R+16,R+15.52,354
KS-01,Tracey,Mann,R,R+18,R+17.87,378
KS-02,Jake,LaTurner,R,R+11,R+10.78,296
KS-03,Sharice,Davids,D,R+1,R+1,217
KS-04,Ron,Estes,R,R+14,R+13.99,338
KY-01,James,Comer,R,R+24,R+24.02,422
KY-02,Brett,Guthrie,R,R+21,R+21.15,402
KY-03,Morgan,McGarvey,D,D+9,D+8.6,136
KY-04,Thomas,Massie,R,R+19,R+19.33,392
KY-05,Hal,Rogers,R,R+32,R+32.24,434
KY-06,Andy,Barr,R,R+9,R+8.52,278
LA-01,Steve,Scalise,R,R+23,R+22.76,416
LA-02,Troy,Carter,D,D+25,D+24.91,38
LA-03,Clay,Higgins,R,R+21,R+21.25,405
LA-04,Mike,Johnson,R,R+14,R+14.15,340
LA-05,Julia,Letlow,R,R+17,R+16.97,371
LA-06,Garret,Graves,R,R+19,R+19.48,394
ME-01,Chellie,Pingree,D,D+9,D+8.76,133
ME-02,Jared,Golden,D,R+6,R+5.57,249
MD-01,Andy,Harris,R,R+11,R+10.6,295
MD-02,Dutch,Ruppersberger,D,D+7,D+7.47,145
MD-03,John,Sarbanes,D,D+10,D+9.62,128
MD-04,Glenn,Ivey,D,D+40,D+39.51,2
MD-05,Steny,Hoyer,D,D+15,D+15.08,90
MD-06,David,Trone,D,D+2,D+1.97,195
MD-07,Kweisi,Mfume,D,D+30,D+30.11,18
MD-08,Jamie,Raskin,D,D+29,D+29.49,21
MA-01,Richard,Neal,D,D+9,D+8.68,135
MA-02,Jim,McGovern,D,D+13,D+13.08,108
MA-03,Lori,Trahan,D,D+11,D+11.41,120
MA-04,Jake,Auchincloss,D,D+12,D+11.94,114
MA-05,Katherine,Clark,D,D+23,D+23.35,46
MA-06,Seth,Moulton,D,D+11,D+11.01,122
MA-07,Ayanna,Pressley,D,D+35,D+35,9
MA-08,Stephen,Lynch,D,D+15,D+15.25,89
MA-09,Bill,Keating,D,D+6,D+6.29,156
MI-01,Jack,Bergman,R,R+13,R+12.59,320
MI-02,John,Moolenaar,R,R+16,R+16.48,367
MI-03,Hillary,Scholten,D,D+1,D+1.28,203
MI-04,Bill,Huizenga,R,R+5,R+4.74,244
MI-05,Tim,Walberg,R,R+15,R+14.56,345
MI-06,Debbie,Dingell,D,D+11,D+10.89,124
MI-07,Elissa,Slotkin,D,R+2,R+2.12,226
MI-08,Dan,Kildee,D,R+1,R+1.07,218
MI-09,Lisa,McClain,R,R+18,R+17.54,374
MI-10,John,James,R,R+3,R+3.05,231
MI-11,Haley,Stevens,D,D+7,D+7.38,148
MI-12,Rashida,Tlaib,D,D+23,D+22.54,51
MI-13,Shri,Thanedar,D,D+23,D+23.47,45
MN-01,Brad,Finstad,R,R+7,R+7.41,265
MN-02,Angie,Craig,D,D+1,D+0.61,208
MN-03,Dean,Phillips,D,D+8,D+7.54,144
MN-04,Betty,McCollum,D,D+17,D+16.61,84
MN-05,Ilhan,Omar,D,D+30,D+29.73,20
MN-06,Tom,Emmer,R,R+12,R+11.99,311
MN-07,Michelle,Fischbach,R,R+19,R+19.26,390
MN-08,Pete,Stauber,R,R+8,R+8.04,273
MS-01,Trent,Kelly,R,R+18,R+18.35,383
MS-02,Bennie,Thompson,D,D+11,D+11.19,121
MS-03,Michael,Guest,R,R+15,R+14.74,347
MS-04,Mike,Ezell,R,R+22,R+21.74,407
MO-01,Cori,Bush,D,D+27,D+27.32,27
MO-02,Ann,Wagner,R,R+7,R+7.1,263
MO-03,Blaine,Luetkemeyer,R,R+16,R+16.03,358
MO-04,Mark,Alford,R,R+23,R+22.62,415
MO-05,Emanuel,Cleaver,D,D+11,D+10.78,125
MO-06,Sam,Graves,R,R+21,R+21.19,403
MO-07,Eric,Burlison,R,R+24,R+23.76,420
MO-08,Jason,Smith,R,R+28,R+28.11,430
MT-01,Ryan,Zinke,R,R+6,R+6.23,255
MT-02,Matt,Rosendale,R,R+16,R+16.3,362
NE-01,Mike,Flood,R,R+9,R+8.67,280
NE-02,Don,Bacon,R,EVEN,D+0.17,210
NE-03,Adrian,Smith,R,R+29,R+28.89,431
NV-01,Dina,Titus,D,D+3,D+2.61,190
NV-02,Mark,Amodei,R,R+8,R+8.05,274
NV-03,Susie,Lee,D,D+1,D+1.46,201
NV-04,Steven,Horsford,D,D+3,D+2.59,191
NH-01,Chris,Pappas,D,EVEN,D+0.06,212
NH-02,Annie,Kuster,D,D+2,D+1.71,200
NJ-01,Donald,Norcross,D,D+10,D+10.32,126
NJ-02,Jeff,Van Drew,R,R+5,R+4.81,245
NJ-03,Andy,Kim,D,D+5,D+4.61,168
NJ-04,Chris,Smith,R,R+14,R+14.13,339
NJ-05,Josh,Gottheimer,D,D+4,D+3.72,177
NJ-06,Frank,Pallone,D,D+8,D+7.95,142
NJ-07,Tom,Kean,R,R+1,R+1.33,219
NJ-08,Robert,Menendez,D,D+22,D+21.95,56
NJ-09,Bill,Pascrell,D,D+8,D+8.31,138
NJ-10,Donald,Payne,D,D+30,D+30.01,19
NJ-11,Mikie,Sherrill,D,D+6,D+5.8,160
NJ-12,Bonnie,Watson Coleman,D,D+12,D+12.09,113
NM-01,Melanie,Stansbury,D,D+5,D+4.7,167
NM-02,Gabe,Vasquez,D,D+1,D+1.12,205
NM-03,Teresa,Leger Fernandez,D,D+4,D+3.59,178
NY-01,Nick,LaLota,R,R+3,R+2.93,230
NY-02,Andrew,Garbarino,R,R+3,R+3.4,235
NY-03,George,Santos,R,D+2,D+1.78,198
NY-04,Anthony,D'Esposito,R,D+5,D+5.09,163
NY-05,Gregory,Meeks,D,D+30,D+30.42,17
NY-06,Grace,Meng,D,D+15,D+14.73,95
NY-07,Nydia,Velazquez,D,D+31,D+31.1,16
NY-08,Hakeem,Jeffries,D,D+26,D+25.83,32
NY-09,Yvette,Clarke,D,D+25,D+25.11,36
NY-10,Daniel,Goldman,D,D+35,D+34.69,11
NY-11,Nicole,Malliotakis,R,R+6,R+5.89,252
NY-12,Jerry,Nadler,D,D+34,D+34.23,12
NY-13,Adriano,Espaillat,D,D+38,D+38.29,4
NY-14,Alexandria,Ocasio-Cortez,D,D+28,D+27.94,23
NY-15,Ritchie,Torres,D,D+35,D+34.85,10
NY-16,Jamaal,Bowman,D,D+20,D+20.14,64
NY-17,Mike,Lawler,R,D+3,D+2.88,186
NY-18,Pat,Ryan,D,D+1,D+1.31,202
NY-19,Marc,Molinaro,R,EVEN,R+0.43,214
NY-20,Paul,Tonko,D,D+7,D+6.94,152
NY-21,Elise,Stefanik,R,R+9,R+8.82,282
NY-22,Brandon,Williams,R,D+1,D+1.15,204
